B_WeaponControl,B_WeaponSystem,Heartbeat_101,0.207975777,
A_WeaponControl,A_WeaponSystem,Heartbeat_101,0.232206398,
B_WeaponControl,B_Radar,Heartbeat_111,0.264595737,
A_WeaponControl,A_Radar,Heartbeat_111,0.399938084,
B_WeaponSystem,B_WeaponControl,Heartbeat_102,0.492252564,
A_WeaponSystem,A_WeaponControl,Heartbeat_102,0.628521563,
B_WeaponControl,B_WeaponSystem,Heartbeat_101,0.698553379,
A_Radar,A_WeaponControl,Heartbeat_112,0.704525001,
A_WeaponControl,A_Radar,Heartbeat_111,0.867915819,
B_WeaponControl,B_Radar,Heartbeat_111,0.891194533,
B_WeaponSystem,B_WeaponControl,Heartbeat_102,0.927012221,
A_WeaponControl,A_WeaponSystem,Heartbeat_101,0.994588372,
B_Radar,B_WeaponControl,Heartbeat_112,1.014703065,
B_WeaponControl,B_WeaponSystem,Heartbeat_101,1.171110681,
B_Radar,B_WeaponControl,Heartbeat_112,1.21365102,
A_Radar,A_WeaponControl,Heartbeat_112,1.228006231,
A_WeaponSystem,A_WeaponControl,Heartbeat_102,1.236970482,
A_WeaponControl,A_Radar,Heartbeat_111,1.454342489,
B_WeaponSystem,B_WeaponControl,Heartbeat_102,1.47310481,
B_WeaponControl,B_Radar,Heartbeat_111,1.490325278,
A_WeaponControl,A_WeaponSystem,Heartbeat_101,1.627473409,
B_WeaponControl,B_WeaponSystem,Heartbeat_101,1.72616063,
A_Radar,A_WeaponControl,Heartbeat_112,1.782127104,
B_Radar,B_WeaponControl,Heartbeat_112,1.85243435,
A_WeaponSystem,A_WeaponControl,Heartbeat_102,1.892690605,
A_Radar,A_WeaponControl,Acquire_201,1.945006909,2604
B_WeaponSystem,B_WeaponControl,Heartbeat_102,1.963073359,
A_WeaponControl,A_Radar,Heartbeat_111,2.06424097,
A_WeaponControl,A_TrackServer,Store_211,2.201303877,2604
B_WeaponControl,B_Radar,Heartbeat_111,2.201860877,
B_WeaponControl,B_WeaponSystem,Heartbeat_101,2.229288586,
B_Radar,B_WeaponControl,Acquire_201,2.236364677,4666
A_WeaponControl,A_WeaponSystem,Heartbeat_101,2.248941148,
A_Radar,A_WeaponControl,Heartbeat_112,2.302889378,
A_WeaponControl,A_Link,Track_221,2.339072362,2604
A_TrackServer,A_WeaponControl,Store_ACK_212,2.465486831,2604
B_Radar,B_WeaponControl,Heartbeat_112,2.491521117,
A_Link,B_Link,Track_J01,2.542247728,2604
B_WeaponControl,B_TrackServer,Store_211,2.57310697,4666
A_WeaponControl,A_WeaponSystem,Heartbeat_101,2.635616811,
A_WeaponSystem,A_WeaponControl,Heartbeat_102,2.647895532,
A_WeaponControl,A_Radar,Heartbeat_111,2.657982642,
B_WeaponControl,B_Link,Track_221,2.692576976,4666
B_WeaponSystem,B_WeaponControl,Heartbeat_102,2.699307372,
B_Link,A_Link,Track_J01,2.800363201,4666
